relative_path,extension,top_level_group,purpose
05_figures/english/FigC_inferential_summary.png,.png,05_figures,Inferential summary figure showing effect sizes and p-values.
05_figures/english/FigE_robustness.png,.png,05_figures,Robustness visualization for LOO and infraocclusion sensitivity.
05_figures/english/FigF_cv_delta_auc.png,.png,05_figures,CV comparison figure for age vs age+gene models.
05_figures/turkish/FigA_prevalans_TR.png,.png,05_figures,Turkish prevalence figure.
05_figures/turkish/FigB_gen_grup_TR.png,.png,05_figures,Turkish gene-group distribution figure.
05_figures/turkish/FigC_inferans_ozet_TR.png,.png,05_figures,Turkish inferential summary figure.
05_figures/turkish/FigE_robustluk_TR.png,.png,05_figures,Turkish robustness figure.
05_figures/turkish/FigF_cv_delta_auc_TR.png,.png,05_figures,Turkish CV figure.
06_ai_handoff_context/DOCUMENTATION_AUDIT_TRAIL.md,.md,06_ai_handoff_context,Records the six-cycle documentation hardening pass requested for the manuscript package.
06_ai_handoff_context/FINAL_HANDOFF_QUICKSTART.md,.md,06_ai_handoff_context,Fast start guide marking authoritative FINAL.1.2 files versus archival context for AI handoff.
06_ai_handoff_context/AGENTS.md,.md,06_ai_handoff_context,Repository-level analysis rules and small-sample statistical constraints.
06_ai_handoff_context/copilot-instructions.md,.md,06_ai_handoff_context,Project-specific AI guardrails and clinical red lines.
06_ai_handoff_context/copilot_vscode_oturumu_camber_oi_oro_dental_analiz_rebuild_prompt_iteratif_qc_cross_validation.md,.md,06_ai_handoff_context,Historical rebuild prompt and session context for AI assistants; contains archival v3 references and should not override FINAL.1.2 authority.
06_ai_handoff_context/prompt.md,.md,06_ai_handoff_context,Archived prompt provenance.
06_ai_handoff_context/python-analysis.instructions.md,.md,06_ai_handoff_context,Python/notebook analysis standards including determinism and fail-fast rules.
06_ai_handoff_context/vscode_custum_instructions_documentation.md,.md,06_ai_handoff_context,Additional editor/assistant instruction provenance.
07_provenance_and_history/issue_log_v3.csv,.csv,07_provenance_and_history,Earlier pipeline issue log for provenance.
07_provenance_and_history/issue_log_v3_1.csv,.csv,07_provenance_and_history,Earlier pipeline issue log for provenance.
07_provenance_and_history/verified_master_table_v3.csv,.csv,07_provenance_and_history,Earlier integrated result snapshot for provenance.
07_provenance_and_history/verified_master_table_v3_1.csv,.csv,07_provenance_and_history,Earlier integrated result snapshot for provenance.
ANALYSIS_RESULT_MAP.csv,.csv,root,Machine-readable map from each analysis to its outputs and figures.
FILE_REGISTRY.csv,.csv,root,Machine-readable inventory of every file in Manuscript_Data.
README_Manuscript_Data.md,.md,root,Human-readable master guide to the package.
